ID,Attraction Name
1,Thunder Vortex
2,Galactic Rapids
3,Dragonfire Coaster
4,Neon Skywheel
5,Phantom Mine Ride
6,Turbo Twister
7,Whispering Falls
8,Inferno Loop
9,Crimson Comet
10,Electric Avalanche
11,Moonlight Carousel
12,Wildwood Expedition
13,Shadow Caverns
14,Starstream Racers
15,The Mystic Tower
16,Turbo Tornado
17,Zephyr Run
18,The Haunted Harbor
19,Midnight Mirage
20,Cosmic Cyclone
21,Lost Lagoon
22,Asteroid Drop
23,Golden Canyon Express
24,Lunar Lifts
25,The Kraken’s Plunge
26,Quantum Coaster
27,Enchanted Forest Ride
28,Blizzard Rush
29,Starlight Spinners
30,The Serpent’s Spiral
31,Ironclad Mine Train
32,Turbo Timber
33,Sky Serpent
34,Gravity Rift
35,The Jester’s Chase
36,Sunburst Slide
37,Frostbite Falls
38,Ocean Odyssey
39,Crystal Caverns
40,Tempest Twister
41,The Abyssal Dive
42,Cloudburst Carousel
43,Infernal Falls
44,Wildfire Rapids
45,Polaris Plunge
46,Neptune’s Fury
47,The Great Gear Grinder
48,Steampunk Soar
49,Midnight Meteor
50,Spectral Swing
51,Thunderstrike Raceway
52,Vortex Voyage
53,Solar Flume
54,The Phantom Express
55,Echo Ridge Mine
56,The Time Traveler
57,Quantum Whirl
58,Starborn Soar
59,Tempest Trail
60,River of Dreams
61,Crimson Canyon Coaster
62,The Cosmic Crane
63,Lightning Lagoon
64,The Cursed Catacombs
65,Infinity Falls
66,Turbo Tide
67,Emerald Expedition
68,The Golden Griffin
69,Storm Surge
70,Mirror Maze Madness
71,The Neon Nebula
72,Tidal Terror
73,The Laughing Lighthouse
74,Firestorm Flume
75,The Whispering Woods
76,Galactic Gliders
77,Mystic Falls Adventure
78,The Dragon’s Flight
79,Cloudrider Coaster
80,Polar Vortex
81,Electric Eel Escape
82,The Sunken Fortress
83,Rainbow Rapids
84,The Haunted Hollow
85,Velocity Voyage
86,Crystal Cyclone
87,Steam Surge
88,The Pirate’s Plunge
89,Comet Chase
90,Magnetron Maze
91,The Abyss Coaster
92,Wildwind Racer
93,The Sapphire Slide
94,Quantum Quest
95,Blaze Breaker
96,The Enigma Ride
97,Frozen Frontier
98,Volcanic Voyage
99,Starforge Coaster
100,The Shadow Run
